env_time,total_time,avg_simulation_second,event_store_size
145,0:00:00.072975,0:00:00.000503,49
146,0:00:00.073976,0:00:00.000507,49
147,0:00:00.073976,0:00:00.000503,49
148,0:00:00.074976,0:00:00.000507,49
149,0:00:00.074976,0:00:00.000503,49
150,0:00:00.074976,0:00:00.000500,49
151,0:00:00.074976,0:00:00.000497,49
152,0:00:00.074976,0:00:00.000493,49
153,0:00:00.074976,0:00:00.000490,49
154,0:00:00.074976,0:00:00.000487,49
155,0:00:00.074976,0:00:00.000484,49
156,0:00:00.074976,0:00:00.000481,49
157,0:00:00.074976,0:00:00.000478,49
158,0:00:00.074976,0:00:00.000475,49
159,0:00:00.074976,0:00:00.000472,51
160,0:00:00.076973,0:00:00.000481,50
161,0:00:00.076973,0:00:00.000478,50
162,0:00:00.076973,0:00:00.000475,50
163,0:00:00.076973,0:00:00.000472,50
164,0:00:00.076973,0:00:00.000469,50
165,0:00:00.076973,0:00:00.000467,50
166,0:00:00.077973,0:00:00.000470,50
167,0:00:00.077973,0:00:00.000467,50
168,0:00:00.077973,0:00:00.000464,50
169,0:00:00.077973,0:00:00.000461,50
170,0:00:00.077973,0:00:00.000459,50
171,0:00:00.077973,0:00:00.000456,50
172,0:00:00.077973,0:00:00.000453,50
173,0:00:00.077973,0:00:00.000451,50
174,0:00:00.077973,0:00:00.000448,50
175,0:00:00.077973,0:00:00.000446,50
176,0:00:00.077973,0:00:00.000443,50
177,0:00:00.077973,0:00:00.000441,50
178,0:00:00.077973,0:00:00.000438,50
179,0:00:00.077973,0:00:00.000436,50
180,0:00:00.077973,0:00:00.000433,50
181,0:00:00.077973,0:00:00.000431,50
182,0:00:00.077973,0:00:00.000428,50
183,0:00:00.077973,0:00:00.000426,50
184,0:00:00.077973,0:00:00.000424,50
185,0:00:00.077973,0:00:00.000421,50
186,0:00:00.077973,0:00:00.000419,50
187,0:00:00.077973,0:00:00.000417,50
188,0:00:00.077973,0:00:00.000415,50
189,0:00:00.077973,0:00:00.000413,62
190,0:00:00.087976,0:00:00.000463,57
191,0:00:00.087976,0:00:00.000461,57
192,0:00:00.087976,0:00:00.000458,57
193,0:00:00.087976,0:00:00.000456,57
194,0:00:00.087976,0:00:00.000453,57
195,0:00:00.087976,0:00:00.000451,57
196,0:00:00.088977,0:00:00.000454,57
197,0:00:00.088977,0:00:00.000452,57
198,0:00:00.091975,0:00:00.000465,57
199,0:00:00.091975,0:00:00.000462,57
200,0:00:00.091975,0:00:00.000460,57
201,0:00:00.091975,0:00:00.000458,57
202,0:00:00.091975,0:00:00.000455,57
203,0:00:00.091975,0:00:00.000453,57
204,0:00:00.091975,0:00:00.000451,57
205,0:00:00.091975,0:00:00.000449,57
206,0:00:00.091975,0:00:00.000446,57
207,0:00:00.091975,0:00:00.000444,57
208,0:00:00.091975,0:00:00.000442,57
209,0:00:00.091975,0:00:00.000440,57
210,0:00:00.091975,0:00:00.000438,57
211,0:00:00.091975,0:00:00.000436,57
212,0:00:00.091975,0:00:00.000434,57
213,0:00:00.091975,0:00:00.000432,57
214,0:00:00.091975,0:00:00.000430,57
215,0:00:00.091975,0:00:00.000428,57
216,0:00:00.091975,0:00:00.000426,57
217,0:00:00.091975,0:00:00.000424,57
218,0:00:00.091975,0:00:00.000422,57
219,0:00:00.091975,0:00:00.000420,59
220,0:00:00.093976,0:00:00.000427,59
221,0:00:00.093976,0:00:00.000425,59
222,0:00:00.093976,0:00:00.000423,59
223,0:00:00.093976,0:00:00.000421,59
224,0:00:00.093976,0:00:00.000420,63
225,0:00:00.098975,0:00:00.000440,59
226,0:00:00.098975,0:00:00.000438,59
227,0:00:00.098975,0:00:00.000436,59
228,0:00:00.104022,0:00:00.000456,59
229,0:00:00.104022,0:00:00.000454,59
230,0:00:00.104022,0:00:00.000452,59
231,0:00:00.104022,0:00:00.000450,59
232,0:00:00.104022,0:00:00.000448,59
233,0:00:00.105978,0:00:00.000455,59
234,0:00:00.105978,0:00:00.000453,59
235,0:00:00.105978,0:00:00.000451,59
236,0:00:00.105978,0:00:00.000449,59
237,0:00:00.105978,0:00:00.000447,59
238,0:00:00.105978,0:00:00.000445,59
239,0:00:00.106980,0:00:00.000448,63
240,0:00:00.115976,0:00:00.000483,62
241,0:00:00.115976,0:00:00.000481,62
242,0:00:00.115976,0:00:00.000479,62
243,0:00:00.115976,0:00:00.000477,62
244,0:00:00.115976,0:00:00.000475,62
245,0:00:00.115976,0:00:00.000473,62
246,0:00:00.115976,0:00:00.000471,62
247,0:00:00.115976,0:00:00.000470,62
248,0:00:00.116974,0:00:00.000472,62
249,0:00:00.116974,0:00:00.000470,66
250,0:00:00.119973,0:00:00.000480,65
251,0:00:00.119973,0:00:00.000478,65
252,0:00:00.119973,0:00:00.000476,65
253,0:00:00.119973,0:00:00.000474,65
254,0:00:00.119973,0:00:00.000472,73
255,0:00:00.125973,0:00:00.000494,68
256,0:00:00.125973,0:00:00.000492,68
257,0:00:00.125973,0:00:00.000490,68
258,0:00:00.127973,0:00:00.000496,68
259,0:00:00.127973,0:00:00.000494,68
260,0:00:00.127973,0:00:00.000492,68
261,0:00:00.128973,0:00:00.000494,68
262,0:00:00.128973,0:00:00.000492,68
263,0:00:00.131974,0:00:00.000502,68
264,0:00:00.131974,0:00:00.000500,68
265,0:00:00.131974,0:00:00.000498,68
266,0:00:00.131974,0:00:00.000496,68
267,0:00:00.131974,0:00:00.000494,68
268,0:00:00.131974,0:00:00.000492,68
269,0:00:00.131974,0:00:00.000491,68
270,0:00:00.131974,0:00:00.000489,68
271,0:00:00.131974,0:00:00.000487,68
272,0:00:00.131974,0:00:00.000485,68
273,0:00:00.131974,0:00:00.000483,68
274,0:00:00.131974,0:00:00.000482,76
275,0:00:00.142975,0:00:00.000520,73
276,0:00:00.142975,0:00:00.000518,73
277,0:00:00.142975,0:00:00.000516,73
278,0:00:00.143973,0:00:00.000518,73
279,0:00:00.143973,0:00:00.000516,73
280,0:00:00.145973,0:00:00.000521,73
281,0:00:00.145973,0:00:00.000519,73
282,0:00:00.145973,0:00:00.000518,73
283,0:00:00.145973,0:00:00.000516,73
284,0:00:00.145973,0:00:00.000514,73
285,0:00:00.145973,0:00:00.000512,73
286,0:00:00.145973,0:00:00.000510,73
287,0:00:00.145973,0:00:00.000509,73
288,0:00:00.145973,0:00:00.000507,73
289,0:00:00.145973,0:00:00.000505,73
290,0:00:00.145973,0:00:00.000503,73
291,0:00:00.145973,0:00:00.000502,73
292,0:00:00.145973,0:00:00.000500,73
293,0:00:00.145973,0:00:00.000498,73
294,0:00:00.145973,0:00:00.000497,75
295,0:00:00.147974,0:00:00.000502,74
296,0:00:00.147974,0:00:00.000500,74
297,0:00:00.147974,0:00:00.000498,74
298,0:00:00.147974,0:00:00.000497,74
299,0:00:00.147974,0:00:00.000495,74
300,0:00:00.147974,0:00:00.000493,74
301,0:00:00.148974,0:00:00.000495,74
302,0:00:00.148974,0:00:00.000493,74
303,0:00:00.148974,0:00:00.000492,74
304,0:00:00.148974,0:00:00.000490,86
305,0:00:00.160870,0:00:00.000527,78
306,0:00:00.160870,0:00:00.000526,78
307,0:00:00.160870,0:00:00.000524,78
308,0:00:00.163463,0:00:00.000531,78
309,0:00:00.163463,0:00:00.000529,78
310,0:00:00.163463,0:00:00.000527,78
311,0:00:00.166049,0:00:00.000534,78
312,0:00:00.166049,0:00:00.000532,78
313,0:00:00.168111,0:00:00.000537,78
314,0:00:00.168111,0:00:00.000535,78
315,0:00:00.168111,0:00:00.000534,78
316,0:00:00.168111,0:00:00.000532,78
317,0:00:00.168111,0:00:00.000530,78
318,0:00:00.168111,0:00:00.000529,78
319,0:00:00.168111,0:00:00.000527,80
320,0:00:00.170110,0:00:00.000532,78
321,0:00:00.170110,0:00:00.000530,79
322,0:00:00.171110,0:00:00.000531,78
323,0:00:00.171110,0:00:00.000530,81
324,0:00:00.176114,0:00:00.000544,80
325,0:00:00.177114,0:00:00.000545,80
326,0:00:00.179157,0:00:00.000550,80
327,0:00:00.179157,0:00:00.000548,80
328,0:00:00.179157,0:00:00.000546,84
329,0:00:00.183113,0:00:00.000557,81
330,0:00:00.183113,0:00:00.000555,81
331,0:00:00.183113,0:00:00.000553,81
332,0:00:00.184111,0:00:00.000555,81
333,0:00:00.185111,0:00:00.000556,91
334,0:00:00.194179,0:00:00.000581,83
335,0:00:00.195184,0:00:00.000583,83
336,0:00:00.195184,0:00:00.000581,83
337,0:00:00.197111,0:00:00.000585,83
338,0:00:00.197111,0:00:00.000583,93
339,0:00:00.209135,0:00:00.000617,86
340,0:00:00.217117,0:00:00.000639,88
341,0:00:00.229118,0:00:00.000672,86
342,0:00:00.243936,0:00:00.000713,90
343,0:00:00.256194,0:00:00.000747,87
344,0:00:00.259207,0:00:00.000754,92
345,0:00:00.286844,0:00:00.000831,91
346,0:00:00.286844,0:00:00.000829,91
347,0:00:00.288839,0:00:00.000832,91
348,0:00:00.291842,0:00:00.000839,91
349,0:00:00.301840,0:00:00.000865,93
350,0:00:00.309839,0:00:00.000885,91
351,0:00:00.314853,0:00:00.000897,93
352,0:00:00.320838,0:00:00.000911,93
353,0:00:00.323840,0:00:00.000917,93
354,0:00:00.323840,0:00:00.000915,98
355,0:00:00.339858,0:00:00.000957,95
356,0:00:00.342841,0:00:00.000963,97
357,0:00:00.346838,0:00:00.000972,96
358,0:00:00.346838,0:00:00.000969,101
359,0:00:00.353835,0:00:00.000986,101
360,0:00:00.355836,0:00:00.000988,101
361,0:00:00.355836,0:00:00.000986,101
362,0:00:00.355836,0:00:00.000983,101
363,0:00:00.360838,0:00:00.000994,101
364,0:00:00.360838,0:00:00.000991,101
365,0:00:00.360838,0:00:00.000989,101
