env_time,total_time,avg_simulation_second,event_store_size
1,0:00:00.016999,0:00:00.016999,2
2,0:00:00.016999,0:00:00.008500,2
3,0:00:00.016999,0:00:00.005666,2
4,0:00:00.018997,0:00:00.004749,2
5,0:00:00.018997,0:00:00.003799,14
6,0:00:00.036997,0:00:00.006166,6
7,0:00:00.037997,0:00:00.005428,6
8,0:00:00.037997,0:00:00.004750,6
9,0:00:00.039996,0:00:00.004444,6
10,0:00:00.039996,0:00:00.004000,6
11,0:00:00.039996,0:00:00.003636,6
12,0:00:00.042999,0:00:00.003583,6
13,0:00:00.042999,0:00:00.003308,6
14,0:00:00.045996,0:00:00.003285,6
15,0:00:00.045996,0:00:00.003066,6
16,0:00:00.045996,0:00:00.002875,6
17,0:00:00.046995,0:00:00.002764,6
18,0:00:00.046995,0:00:00.002611,6
19,0:00:00.046995,0:00:00.002473,6
20,0:00:00.046995,0:00:00.002350,18
21,0:00:00.070996,0:00:00.003381,11
22,0:00:00.070996,0:00:00.003227,11
23,0:00:00.070996,0:00:00.003087,11
24,0:00:00.072996,0:00:00.003042,11
25,0:00:00.072996,0:00:00.002920,11
26,0:00:00.072996,0:00:00.002808,11
27,0:00:00.076997,0:00:00.002852,11
28,0:00:00.076997,0:00:00.002750,11
29,0:00:00.077999,0:00:00.002690,11
30,0:00:00.078996,0:00:00.002633,23
31,0:00:00.113995,0:00:00.003677,14
32,0:00:00.115995,0:00:00.003625,14
33,0:00:00.115995,0:00:00.003515,14
34,0:00:00.117997,0:00:00.003470,14
35,0:00:00.117997,0:00:00.003371,38
36,0:00:00.205996,0:00:00.005722,22
37,0:00:00.214999,0:00:00.005811,22
38,0:00:00.214999,0:00:00.005658,22
39,0:00:00.235995,0:00:00.006051,22
40,0:00:00.235995,0:00:00.005900,22
41,0:00:00.237995,0:00:00.005805,22
42,0:00:00.266995,0:00:00.006357,22
43,0:00:00.266995,0:00:00.006209,22
44,0:00:00.272993,0:00:00.006204,22
45,0:00:00.277996,0:00:00.006178,22
46,0:00:00.277996,0:00:00.006043,22
47,0:00:00.277996,0:00:00.005915,22
48,0:00:00.277996,0:00:00.005792,22
49,0:00:00.277996,0:00:00.005673,22
50,0:00:00.277996,0:00:00.005560,22
51,0:00:00.277996,0:00:00.005451,22
52,0:00:00.277996,0:00:00.005346,22
53,0:00:00.277996,0:00:00.005245,22
54,0:00:00.277996,0:00:00.005148,22
55,0:00:00.278994,0:00:00.005073,46
56,0:00:00.375997,0:00:00.006714,36
57,0:00:00.375997,0:00:00.006596,36
58,0:00:00.375997,0:00:00.006483,36
59,0:00:00.380995,0:00:00.006458,36
60,0:00:00.380995,0:00:00.006350,36
61,0:00:00.380995,0:00:00.006246,36
62,0:00:00.395997,0:00:00.006387,36
63,0:00:00.395997,0:00:00.006286,36
64,0:00:00.398995,0:00:00.006234,36
65,0:00:00.398995,0:00:00.006138,36
66,0:00:00.398995,0:00:00.006045,36
67,0:00:00.402995,0:00:00.006015,36
68,0:00:00.402995,0:00:00.005926,36
69,0:00:00.402995,0:00:00.005841,36
70,0:00:00.402995,0:00:00.005757,36
71,0:00:00.402995,0:00:00.005676,36
72,0:00:00.402995,0:00:00.005597,36
73,0:00:00.402995,0:00:00.005520,36
74,0:00:00.402995,0:00:00.005446,36
75,0:00:00.403995,0:00:00.005387,42
