env_time,total_time,avg_simulation_second
1,0:00:02.510833,0:00:02.510833
2,0:00:05.562452,0:00:02.781226
3,0:00:07.920465,0:00:02.640155
4,0:00:10.293390,0:00:02.573348
5,0:00:12.614084,0:00:02.522817
6,0:00:14.569605,0:00:02.428268
7,0:00:17.037083,0:00:02.433869
8,0:00:19.024648,0:00:02.378081
9,0:00:21.000806,0:00:02.333423
10,0:00:23.402916,0:00:02.340292
11,0:00:25.146421,0:00:02.286038
12,0:00:27.228999,0:00:02.269083
13,0:00:29.406003,0:00:02.262000
14,0:00:31.165149,0:00:02.226082
15,0:00:33.359832,0:00:02.223989
16,0:00:35.460222,0:00:02.216264
17,0:00:37.228563,0:00:02.189915
18,0:00:39.499473,0:00:02.194415
19,0:00:41.495504,0:00:02.183974
20,0:00:43.307746,0:00:02.165387
21,0:00:45.613872,0:00:02.172089
22,0:00:47.487438,0:00:02.158520
23,0:00:49.505612,0:00:02.152418
24,0:00:51.783762,0:00:02.157657
25,0:00:53.550678,0:00:02.142027
