env_time,total_time,avg_simulation_second
1,0:00:00.988206,0:00:00.988206
2,0:00:01.977283,0:00:00.988642
3,0:00:03.084199,0:00:01.028066
4,0:00:04.080167,0:00:01.020042
5,0:00:05.317838,0:00:01.063568
6,0:00:06.412226,0:00:01.068704
7,0:00:07.229939,0:00:01.032848
8,0:00:08.022003,0:00:01.002750
9,0:00:08.754995,0:00:00.972777
10,0:00:09.510390,0:00:00.951039
11,0:00:10.372493,0:00:00.942954
12,0:00:11.401665,0:00:00.950139
13,0:00:12.319117,0:00:00.947624
14,0:00:13.016937,0:00:00.929781
15,0:00:13.753510,0:00:00.916901
16,0:00:14.492035,0:00:00.905752
17,0:00:15.398535,0:00:00.905796
18,0:00:16.534167,0:00:00.918565
19,0:00:17.742677,0:00:00.933825
20,0:00:19.077697,0:00:00.953885
21,0:00:20.082508,0:00:00.956310
22,0:00:21.191946,0:00:00.963270
23,0:00:22.220200,0:00:00.966096
