env_time,total_time,avg_simulation_second
1,0:00:00.624996,0:00:00.624996
2,0:00:01.220211,0:00:00.610106
3,0:00:01.911972,0:00:00.637324
4,0:00:02.578229,0:00:00.644557
5,0:00:03.136018,0:00:00.627204
6,0:00:03.772966,0:00:00.628828
7,0:00:04.434423,0:00:00.633489
8,0:00:05.090151,0:00:00.636269
9,0:00:05.713772,0:00:00.634864
10,0:00:06.197752,0:00:00.619775
11,0:00:06.677966,0:00:00.607088
12,0:00:07.122336,0:00:00.593528
13,0:00:07.568620,0:00:00.582202
14,0:00:08.088537,0:00:00.577753
15,0:00:08.529035,0:00:00.568602
16,0:00:08.992417,0:00:00.562026
17,0:00:09.611653,0:00:00.565391
18,0:00:10.222194,0:00:00.567900
19,0:00:10.911855,0:00:00.574308
20,0:00:11.794848,0:00:00.589742
