env_time,total_time,avg_simulation_second
1,0:00:00.364080,0:00:00.364080
2,0:00:00.671670,0:00:00.335835
3,0:00:01.051544,0:00:00.350515
4,0:00:01.448537,0:00:00.362134
5,0:00:01.793640,0:00:00.358728
6,0:00:02.113776,0:00:00.352296
7,0:00:02.419878,0:00:00.345697
8,0:00:02.690838,0:00:00.336355
9,0:00:02.960886,0:00:00.328987
10,0:00:03.235882,0:00:00.323588
