env_time,total_time,avg_simulation_second
1,0:00:00.122036,0:00:00.122036
2,0:00:00.250352,0:00:00.125176
3,0:00:00.416337,0:00:00.138779
4,0:00:00.587337,0:00:00.146834
5,0:00:00.765205,0:00:00.153041
6,0:00:00.909208,0:00:00.151535
7,0:00:01.051208,0:00:00.150173
8,0:00:01.149207,0:00:00.143651
